Tweets,Sentiment
,
"At #Salina #Information #Technology, we take responsibility to help your business excel by providing #solutions which elevates your business, it includes but not limited, web solutions, robotics, platforms and infrastructure setup. 
Welcome to the future !!   #owl #network #uae https://t.co/N3pdEpn470",1
,
"EDGE Group’s recent acquisition of Milrem Robotics is just one example of how eastern European commitments to defence are putting western efforts to shame.
#milremrobotics #europe #defence #investment #acquistion

https://t.co/hMa3gDX7hP",0
,
"#nlp #twitter #chatbot #machinelearning #sentimentanalysis #svm #naïvebayes

Machine Learning Chatbot for Sentiment Analysis of Covid-19 Tweets
Suha Khalil Assayed, Khaled Shaalan, Manar Alkhatib, Safwan Maghaydah, The British University in Dubai, UAE

https://t.co/6dzb4YpGSF",0
,
"#nlp #twitter #chatbot #sentimentanalysis #svm #naïvebayes #covid19 
Machine Learning Chatbot for Sentiment Analysis of Covid-19 Tweets 
Suha Khalil Assayed, Khaled Shaalan, Manar Alkhatib, Safwan Maghaydah, The British University in Dubai, UAE
https://t.co/aVykWyuBSJ",0
,
"This year's Open Data Day (2023), with the theme ""Open Data to AI,"" aims to seek how open data is playing a critical role in the field of Artificial Intelligence, (Machine Learning) and other emerging technologies.
#sharjah #deg #uae https://t.co/PzxpB04Bj4",-1
,
"... His Highness viewed the UAE’s first adaptive radiation therapy that uses Artificial Intelligence (AI) and machine learning to design a patient’s treatment plan, the first chemotherapy robot and private patient infusion rooms...",-1
,
"According to the UAE's Minister of Education, Ahmad Al Falasi, has made plans to integrate machine learning and artificial intelligence into the classroom.

#AI https://t.co/vnEXcFkBlt",-1
,
"SpaceX launches US, Russia, UAE astronauts to space station https://t.co/Hm7WzCN8ra #3Novices #Meghashyam Thiruveedula #Data Science #Machine Learning",0
,
"SpaceX launches US, Russia, UAE astronauts to space station https://t.co/QvzrWUNEhQ #3Novices #Meghashyam Thiruveedula #Data Science #Machine Learning",0
,
"The futuristic fuel stations feature computer vision and machine learning, allowing them to memorize vehicles and offer personalized fuel services.

Read More: https://t.co/aStEsZNMin

#PetrolPump #AI #UAE #FuelStation https://t.co/kDrsBXUpR2",0
,
"UAE enlists L3Harris to help it become machine learning, AI hub - Breaking Defense - Follow @A4ETechnologies for more info #ai #machinelearning https://t.co/DbRuMVZd0t",0
,
Abu Dhabi’s G42 Seeks $495 Million From Presight AI Listing:https://t.co/QHfPcWT6Zq #private_equity,0
,
G42-owned Presight AI's IPO will open March 13 and close March 17 https://t.co/YLcT4BfYLj,0
,
"Presight AI, a data analytics firm owned by Abu Dhabi’s G42, plans to raise $495 million from an IPO, becoming the second company from the UAE's capital to tap the capital markets this year https://t.co/AoMCDPaeAQ",1
,
"- Abu Dhabi's G42 seeks to raise $495 million from its Presight AI listing on the Abu Dhabi Exchange.
#G42 #AbuDhabi #PresightAI #Bloomberg #495Million
https://t.co/pSKDSrAWLr",0
,
"Presight AI, a data analytics firm owned by Abu Dhabi’s G42, plans to raise $495 million from an IPO, becoming the second company from the UAE's capital to tap the capital markets this year https://t.co/A0BOz3bjPe via @technology",1
,
"Abu Dhabi’s G42 is launching an IPO for Presight AI, plans to raise $490m. The company took geospatial AI unit Bayanat public last year, which tripled after its debut.

#IPO #IPONews #AI #MENA #AbuDhabi #technology 

https://t.co/y9lnEZpzul",0
,
"🎯#Bloomberg, Shaji Mathew: Abu Dhabi’s G42 Seeks $495 Million From Presight AI Listing
✅Firm plans to sell 1.36 billion shares at 1.34 dirhams a share
✅Presight will be valued at 7.51 bln dirhams based on IPO price
https://t.co/84ZkeIbrnA
https://t.co/pxUEEZYvT8",-1
,
"Presight AI Holding, a G42 company and a big data analytics company powered by AI, on Monday announced its intention to carry out an initial public offering and subsequently list its shares on the Abu Dhabi Securities Exchange’s (@ADX_AE) first market.

https://t.co/cX1xuj3svO",1
,
"#AbuDhabi artificial intelligence firm #G42 plans to float its big #dataanalytics unit https://t.co/BuOdju8nOP via an 1.82 billion dirham ($495.6 million) initial public offering (IPO) and list its shares on the local stock exchange.
https://t.co/otAxNg5FfU",-1
,
"https://t.co/LSP1BRzRur
G42 Group, based in Abu Dhabi, is planning to launch an initial public offering (IPO) for presightai, its second subsidiary, by offering 1.35B shares at AED 1.34 each for a total issue size of AED 1.82B.

#G42 #IPO #Presight #AI #ADX #thefinanceworld",0
,
"Exciting news for AI and big data enthusiasts! Abu Dhabi's G42 plans to float https://t.co/dKYEzJy9y5 via IPO. With 1.36 billion new shares at 1.34 dirhams each, this is set to be a game changer! 🤖💰 #AI #BigData #IPO #Presight #AbuDhabi @G42ai https://t.co/UZ5Xont9vK",1
,
"Presight AI IPO: G42 unit set to raise $496m from Abu Dhabi Securities Exchange listing - The National https://t.co/70gohgN4NR 

Latest for #Metaverse #AR #VR #100DaysofCode #5G #Web3 #AI #ArtificialIntelligence #Gaming #ChatGPT #IoT #Python #Tech",1
,
"Abu Dhabi&amp;based data analytics firm Presight AI, owned by AI and cloud computing company G42, plans to raise $495M at a ~$2B valuation in an IPO on March 13 (Shaji Mathew/Bloomberg): Shaji Mathew / Bloomberg: Abu Dhabi-based data… https://t.co/4yNdP1bjy7 #technews #ev #tesla",-1
,
"Presight, a G42 company and an international big data analytics company powered by artificial intelligence, today announces its intention to carry out an initial public offering (IPO) and subsequently list its shares on the Abu Dhabi Securities Exchange’… https://t.co/uQgiuxmJjH",-1
,
"Abu Dhabi-based data analytics firm Presight AI, owned by AI and cloud computing company G42, plans to raise $495M at a ~$2B valuation in an IPO on March 13 (Shaji Mathew/Bloomberg) https://t.co/YeXn0B986P",-1
,
"Abu Dhabi-based data analytics firm Presight AI, owned by AI and cloud computing company G42, plans to raise $495M at a ~$2B valuation in an IPO on March 13 (Shaji Mathew/Bloomberg) https://t.co/EKPeAW2uot",-1
,
"Abu Dhabi-based data analytics firm Presight AI, owned by AI and cloud computing company G42, plans to raise $495M at a ~$2B valuation in an IPO on March 13 (Shaji Mathew/Bloomberg) https://t.co/ffTbAffSmn https://t.co/EU9trr62T4",-1
,
"https://t.co/2oaclQR5uP - Abu Dhabi-based data analytics firm Presight AI, owned by AI and cloud computing company G42, plans to raise $495M at a ~$2B valuation in an IPO on March 13 (Shaji Mathew/Bloomberg) #tech #mobile",-1
,
"Abu Dhabi-based data analytics firm Presight AI, owned by AI and cloud computing company G42, plans to raise $495M … https://t.co/KZVeNjA3KT https://t.co/SEzaZRD4pQ",-1
,
"Abu Dhabi-based data analytics firm Presight AI, owned by AI and cloud computing company G42, plans to raise $495M at a ~$2B valuation in an IPO on March 13 (Shaji Mathew/Bloomberg) https://t.co/l40tfehTnX",-1
,
"Abu Dhabi-based data analytics firm Presight AI, owned by AI and cloud computing company G42, plans to raise $495M at a ~$2B valuation in an IPO on March 13 (Shaji Mathew/Bloomberg) https://t.co/6jVV23IDkU #TechNews #TechTips https://t.co/YW2ctKaxPP",-1
,
"Abu Dhabi-based data analytics firm Presight AI, owned by AI and cloud computing company G42, plans to raise $495M at a ~$2B valuation in an IPO on March 13 (@shajishaji1 / Bloomberg)

https://t.co/csTBxaNPzr
https://t.co/1wSanAv6iu",-1
,
Presight AI IPO: G42 unit set to raise $496m from Abu Dhabi Securities Exchange listing https://t.co/ukLEy460wl https://t.co/B7sVrlz722,0
,
"Presight AI to Raise Over USD495 Million in IPO on Abu Dhabi Bourse Next Week: Forbes
#UAE #AbuDhabi #G42 #IPO #g42ai #Technology #Forbes #DataAnalytics #ADX #AI 
@G42ai
@Forbes 
@Forbes_MENA_ 
@ADX_AE https://t.co/0PMs4k1wzI",0
,
Abu Dhabi’s G42 Seeks $495 Million From Presight AI Listing  https://t.co/Kjb3djLDJq,0
,
#Abu Dhabi’s #G42 Seeks $495 Million From Presight AI Listing https://t.co/bK2LtLknk2 https://t.co/BFk2rL39mu,0
,
"Spiking 🚀 Today's IPOs
➡06 March 2023 : 
Abu Dhabi royal-backed G42 plans $495 mln IPO for big data ...
#Abu #Dhabi #IPO 
To learn more, visit :https://t.co/NdENbVpvlo",0
,
"Abu Dhabi-based G24 company Presight Al Holding has announced its plans to offer 1.35 billion shares through IPO (initial public offering).

https://t.co/CG92NngTS7",0
,
"Abu Dhabi-based G24 company Presight Al Holding has announced its plans to offer 1.35 billion shares through IPO (initial public offering).

https://t.co/kGwtW0uC6X",0
,
"Presight AI Holding PLC, an international big data analytics company, has said that it is looking to undertake an #IPO and list its shares on the Abu Dhabi Securities Exchange’s first market.
@PresightAI #AbuDhabi 
Read more at: https://t.co/RNMj49dWXK",1
,
"#G42PlansIPO #495MillionIPO #PresightAI #BigDataAnalytics #AbuDhabiExchange #ReutersNews: G42 Makes Plans to Float Big Data Analytics Unit with 1.82 Billion Dirham IPO 

https://t.co/grlS3aB6ZZ",0
,
"Presight AI, a data analytics firm owned by Abu Dhabi’s G42, plans to raise $495 million from an IPO, becoming the second company from the UAE's capital to tap the capital markets this year https://t.co/C2vzwCsKgQ",1
,
"Abu Dhabi's G42 to launch IPO for second subsidiary, https://t.co/C1gYsiyaI3, in Dh1.8b issue 

Read more: https://t.co/DzLon51avp 

#abudhabi #G42 #ipo #business #news #thegulftalk https://t.co/EsOZpMYZyg",0
,
"⚡In the #News at 1:11 AM👇
📰
Abu Dhabi royal-backed G42 plans $495 mln IPO for big data analytics firm 
https://t.co/0O4EYoyNDP",-1
,
Abu Dhabi’s G42 Seeks $495 Million From Presight AI Listing  https://t.co/k0MlRGq4uH,0
,
"Abu Dhabi-based G42 Group, an artificial intelligence (#AI) and cloud computing #technology company, is selling a 32% stake or 1.35 billion #shares in its subsidiary, Presight AI, in an #IPO that is set to raise 1.82 billion dirhams ($495.6 million) https://t.co/hydohLEu5l",-1
,
"IPO NEWS: Presight AI, a data analytics firm owned by Abu Dhabi’s G42, plans to raise $495 million from an IPO, becoming the second company from the UAE's capital to tap the capital markets this year https://t.co/HHgWONgflF via @technology @ShajiShaji1",1
,
"[Bloomberg] Presight AI, a data analytics firm owned by Abu Dhabi’s G42, plans to raise $495 million from an IPO https://t.co/i3miNxj6nY",-1
,
"Presight AI, a data analytics firm owned by Abu Dhabi’s G42, plans to raise $495 million from an IPO, becoming the second company from the UAE's capital to tap the capital markets this year https://t.co/HURf1enpas",1
,
"Presight AI, a data analytics firm owned by Abu Dhabi’s G42, plans to raise $495 million from an IPO, becoming the second company from the UAE's capital to tap the capital markets this year https://t.co/nr7AbdKtbD",1
,
"Abu Dhabi’s G42 to offer 32% STK in https://t.co/9scElKHzSG IPO – Gulf News
#Ainvest #Ainvest_Wire #precious #Trending #economic 
View more: https://t.co/RoG3eime4L",1
,
"Abu Dhabi-based #AI company G42 plans at least 6 more IPOs after this year’s biggest #IPO. Companies include G42 Healthcare, big data analyst https://t.co/0CkHv52Fvg and AIQ (JV with Adnoc). The firm listed geospatial mapping unit Bayanat in 2022.
#IPONews
https://t.co/u8rZG5p2oP",-1
,
"Ramesh Jagannathan, managing director of startAD, was featured in @Forbes where he emphasized that by supporting innovation &amp; entrepreneurship, Abu Dhabi can create a knowledge-based economy that can drive sustainable growth.

Read more at: https://t.co/r7vjzCVlQw

@MercedesAMGF1 https://t.co/5C3s69HLqf",1
,
"Abu Dhabi AI company G42’s $10 billion tech fund has hired a former executive from Chinese e-commerce giant https://t.co/JPSI0vD0ma as it expands its footprint across Asia, people with knowledge of the matter say https://t.co/2uzeZYi1Vi",0
,
Abu Dhabi artificial intelligence company G42’s $10 billion tech fund is expanding its footprint across Asia https://t.co/KZzC2Akz1P,-1
,
"Abu Dhabi AI company G42’s $10 billion tech fund has hired a former executive from Chinese e-commerce giant https://t.co/RXBB97FM2J as it expands its footprint across Asia, people with knowledge of the matter say https://t.co/qe7XB6kAFI",0
,
[Bloomberg] Abu Dhabi AI company G42’s $10 billion tech fund has hired a former executive from Chinese e-commerc https://t.co/eDHxcruLHL,0
,
"Abu Dhabi AI company G42’s $10 billion tech fund has hired a former executive from Chinese e-commerce giant https://t.co/IYA4U13sNP as it expands its footprint across Asia, people with knowledge of the matter say https://t.co/u9cmFZOqMh",0
,
"Abu Dhabi AI company G42’s $10 billion tech fund has hired a former executive from Chinese e-commerce giant https://t.co/myXrTnIKMS as it expands its footprint across Asia, people with knowledge of the matter say https://t.co/wgZgyNr9Ms",0
,
"If Full Self driving never eventuates, I'm  taking my UAE Cybertruck to East Sepik Province to work cocoa",1
,
"""The foursome also spent Monday installing new space biology hard- ware, replacing electronic components, and updating emergency procedures for the expanded crew.""

Meanwhile, the UAE's Emirates Lunar Mission is working on a second rover to the Moon. Dr Hamad Al Marzooqi,",-1
,
"Emirates Lunar Mission project manager makes announcement at SpaceOps event in Dubai

#liveuaenews #UAE #science #space #mission #moon #rover https://t.co/6nduYIhDGt",0
,
"🚀🌕👨‍🚀 Exciting news! UAE's Emirates Lunar Mission is planning a second rover to the Moon! #UAE #MBRSC #EmiratesLunarMission #RashidRover
@MBRSpaceCentre https://t.co/prAaKEvD1Q",1
,
"UAE's space ambitions keep reaching for the stars! At SpaceOps 2023, MBRSC project head announced plans for a second rover to join UAE's Emirates Lunar Mission. 

A shining example of the UAE's unwavering commitment to innovation and exploration. 

#UAE  #MBRSC  #RashidRover https://t.co/Bz3cOnmpai",0
,
"#UAESpaceSector continues to soar high! Exciting news from the 17th International Conference on Space Operations in Dubai - UAE's Emirates Lunar Mission is gearing up for its 2nd rover to the Moon! 

#UAE  #MBRSC  #EmiratesLunarMission  #RashidRover @MBRSpaceCentre https://t.co/YXJD98RPeu",1
,
"#UAE developing second Moon rover, says MBRSC official

Emirates Lunar Mission project manager makes announcement at SpaceOps event in Dubai
https://t.co/h3pDVSehza https://t.co/78HeQF3w6u",0
,
"Dr. Sara AlMaeeni, Senior Expert, Space Robotics Lab, Mars 2117 Programme, MBRSC: The main objective of the Emirates Lunar Mission is to understand the lunar environment and geology.

#SpaceOps2023",1
,
"Dr. Hamad AlMarzooqi, Project Manager, Emirates Lunar Mission, MBRSC: The Rashid Rover is approaching the Moon's orbit, and we will have a Lunar Orbit Insertion soon.

#SpaceOps2023",0
,
"Rashid rover
Emirates Lunar Mission
https://t.co/FFzWkQwJvb https://t.co/Z4j50hUJFN",0
,
"Build a working software application that integrates with the #XDCBlockchain.

@XinFin_Official @ETHDubaiConf #BuildOnXDC #XDC #WeAreXDC #XDCNetwork #meetup #smartcontracts #UAE #XDCCommunity #blockchain #Hackathon #bounty #XinFin https://t.co/1iXAmZJ35k",0
,
"Smart waste app wins top prize in UAE hackathon. The app, developed by three students from the University of Sharjah, will be trialled in a waste collection system by public-private partnership company Bee’ah. #SmartWaste #SmartCities @srtipark @beeahgroup https://t.co/hoQ067KXTa",1
,
Smart waste app wins top prize in UAE hackathon https://t.co/Ros0L6QI7w #SmartCities #SmartCity,1
,
Smart waste app wins top prize in UAE hackathon https://t.co/xH05TL6ejY #Smartwaste,1
,
"UAE's 1st long-duration astronaut sets sights on moon and Mars!
-
https://t.co/N60KTaz0Da
-
-
-
#Space #UAE #spacemission #spaceze #nasa #spaceship #spacex #spacestation #universe #astronomy #astronaut #stars #spaceshuttle #explore https://t.co/PatFMdxQON",0
,
"""The foursome also spent Monday installing new space biology hard- ware, replacing electronic components, and updating emergency procedures for the expanded crew.""

Meanwhile, the UAE's Emirates Lunar Mission is working on a second rover to the Moon. Dr Hamad Al Marzooqi,",-1
,
"Al Neyadi gets up to speed with life on orbit UAE developing second Moon rover

ravelling at 28,000km per hour on the International Space Station (ISS), UAE astronaut Sultan Al Neyadi is getting up to speed with life on orbit, US space agency Nasa has said..",0
,
"that Moon-lander missions have low success rates, with a 10 to 50 per cent chance of the UAE's Hover icons Fully tooching base with the Mon 
Dr Hamad AlMarzoog, Project Manager, Emites lunar mission (MBRSC)said We have successfully lunching the Rovers with our partners....",1
,
"UAE's second moon “ mission in the works

Work on the net lunar mission has already commenced even as the UAE's Rashed Rover is on its way to landing on the Moon's surface April 25 - senior officials of the Mohammed Bin Rashid space Centre (MBRSC)said on Wednesday, it's no secret https://t.co/qvI04OOHiE",-1
,
"KSAT signs deal with MBRSC to provide direct communication between the Moon and Earth for UAE's first mission to the Moon: a lunar rover.
- By Louise Weightman
#satellite #space 

https://t.co/hVKurno7Zg 
https://t.co/bhtRJiwzdi",1
,
@Mazimatic @iamsaketjoshi @SaitamaDubai @WeAreSaitama @karanbhandari10 @Epayme_uae @vineet_miskin @Princesehgal01 @AaronSaitama @mannythehitman @SaitaRealty I'M IN #MAZIMATIC TO THE MOON #MAZIARMY 🐺❤️🏡,0
,
"@SarwatNasir @TheNationalNews Hey, Sarwat i'm pretty excited to see the landing results of Rashid rover in April and it remains a few weeks away from its planned landing on the Moon. It'll make UAE, the first Arab country to land and operate a rover on the Lunar surface.🤩🤖🌑🇦🇪 https://t.co/XgR2U7JkuY",1
,
UAE's 1st long-duration astronaut sets sights on moon and Mars https://t.co/zeosiAY4jh,0
,
"UAE's 1st long-duration astronaut sets sights on moon and Mars. Sultan Al Neyadi blasted off March 2 as part of the SpaceX Crew-6 mission, and says his International Space Station mission will get the UAE ready for the moon and Mars... https://t.co/SdHLesrgZD",-1
,
UAE's 1st long-duration astronaut sets sights on moon and Mars https://t.co/aB6sjpAZ3L,0
,
"UAE developing second #Moon mission rover, says @MBRSpaceCentre official, by Sajila Saseendran (@reportersajila) in @gulf_news https://t.co/SPJsPZxR3H #Lunapolitics #UAE",0
,
"UAE: Work on next #Moon mission begins, reveal top officials, by Nandini Sircar (@nandini1118) in @khaleejtimes 
https://t.co/XM80q4vyYk #Lunapolitics #UAE",1
,
"Emirates Lunar Mission project manager makes announcement at SpaceOps event in Dubai

#liveuaenews #UAE #science #space #mission #moon #rover https://t.co/6nduYIhDGt",0
,
"UAE's 1st long-duration astronaut sets sights on #moon and Mars, by Elizabeth Howell (@howellspace) in @SPACEdotcom https://t.co/mWUpGYk3Uo #Lunapolitics #UAE",0
,
UAE's 1st long-duration astronaut sets sights on moon and Mars  https://t.co/lXPe3n5QCT,0
,
"#UAE developing second #Moon mission rover, says @MBRSpaceCentre official, by Sajila Saseendran in @gulf_news https://t.co/mLkqZAA4sR #Space #SpaceExploration",0
,
"🚀🌕👨‍🚀 Exciting news! UAE's Emirates Lunar Mission is planning a second rover to the Moon! #UAE #MBRSC #EmiratesLunarMission #RashidRover
@MBRSpaceCentre https://t.co/prAaKEvD1Q",1
,
"📅🚀🌑 Mark your calendars! The Rashid Rover is set to land on the Moon's surface on April 25. Let's wish it a safe journey! #UAE #MBRSC #EmiratesLunarMission #RashidRover
@HHShkMohd https://t.co/rFCf1JuXl2",1
,
"🌍🪐🚀 From Earth to Mars passing by Moon, MBRSC is on a mission to explore the universe. Proud to be a part of the UAE's space exploration journey! #UAE #MBRSC #EmiratesLunarMission #RashidRover
@MohamedBinZayed https://t.co/kLtpGhKYYv",1
,
"A historic milestone in the making! On April 25, UAE's first-ever lunar rover, Rashid Rover, will make its way to the Moon's surface. Kudos to the UAE's space sector for pushing boundaries and exploring new frontiers! 
#UAE   #EmiratesLunarMission  #RashidRover  @MBRSpaceCentre https://t.co/42J7d20V7l",1
,
"#UAESpaceSector continues to soar high! Exciting news from the 17th International Conference on Space Operations in Dubai - UAE's Emirates Lunar Mission is gearing up for its 2nd rover to the Moon! 

#UAE  #MBRSC  #EmiratesLunarMission  #RashidRover @MBRSpaceCentre https://t.co/YXJD98RPeu",1
,
"Work on the next lunar mission has already commenced even as the #UAE’s RashidRover is on its way to landing on the Moon’s surface on April 25.
https://t.co/w3phzCW655 https://t.co/CeJaNURrMU #UAE #Dubai #DXB",0
,
"#BREAKING
UAE: Work on next Moon mission begins, reveal top officials https://t.co/w3phzCW655 #UAE #Dubai #DXB",1
,
"#UAE: Work on next #Moon mission begins, reveal top officials, by Nandini Sircar in @khaleejtimes https://t.co/S8UE0rhh1z #Space #SpaceExploration",1
,
"Work on the next lunar mission has already commenced even as the #UAE’s @RashidRover is on its way to landing on the Moon’s surface on April 25.
https://t.co/7JRKkEjtAw https://t.co/rmLITPwRWC",0
,
"wts lfb ph
Fragrance Mist Perfume
Victoria’s Secret (250 ml)
•Love Spell
•Harvest Moon Gaze
•Cheers Again
₱580 each

Bath &amp; Body Works (236 ml)
•Butterfly
•Gingham Love
•A Thousand Wishes
₱550 each

-onhand and ready to ship
-original (Dubai, UAE) https://t.co/Sx0nOi8tqK",1
,
"#BREAKING
UAE: Work on next Moon mission begins, reveal top officials https://t.co/7JRKkEjtAw",1
,
"UAE's 1st long-duration astronaut sets sights on moon and Mars 
https://t.co/egxbF2Rqud",0
,
"#Breaking #UAE developing second Moon rover, says MBRSC @MBRSpaceCentre official https://t.co/bAfI8pwmOp",0
,
"#UAE developing second Moon rover, says MBRSC official

Emirates Lunar Mission project manager makes announcement at SpaceOps event in Dubai
https://t.co/h3pDVSehza https://t.co/78HeQF3w6u",0
,
@COP28_UAE Good 👍🏻,1
,
#UAE's 1st long-duration astronaut sets sights on moon and @HopeMarsMission https://t.co/0uQj3o1Gyu,0
,
"#UAE's 1st long-duration #astronaut sets sights on #moon and #Mars, by Elizabeth Howell in @SPACEdotcom https://t.co/dDDleWPzB1 #Space #SpaceExploration",0
,
"Sultan Al Neyadi blasted off march 2 as part of the #SpaceX Crew-6 mission, and says his international Space Station mission will get the UAE ready for the Moon and Mars. https://t.co/dwGqAUnPV2",-1
,
UAE's 1st long-duration astronaut sets sights on moon and Mars  @SpaceX #Space,0
,
"UAE's 1st long-duration astronaut sets sights on moon and Mars
#science
https://t.co/dbJQmAEHk7",0
,
Congrats to #Crew6 on a successful &amp; historic mission to the ISS! The Commercial Crew program is opening up the doors for countries like UAE to join our journey to the stars &amp; we can’t wait to see how these collaborations can take us to the Moon &amp; then Mars! #humanstomars https://t.co/JiXziNdDuv,1
,
UAE's 1st long-duration astronaut sets sights on moon and Mars  https://t.co/ZxSBoVRdNy #moon,0
,
UAE’s 1st long-duration astronaut sets sights on moon and Mars https://t.co/rLbtHqpIxH,0
,
UAE's 1st long-duration astronaut sets sights on moon and Mars  https://t.co/5v2uSj8Aru,0
,
UAE's 1st long-duration astronaut sets sights on moon and Mars  https://t.co/KJoRSEz8PX #space #news #universe,0
,
Sultan Al Neyadi's mission to the ISS is a huge step for the UAE towards the Moon and Mars. The future of space exploration is looking brighter than ever! #SpaceExploration #UAE #MoonAndMars #SpaceXCrew6 https://t.co/d17lpV736u,1
,
UAE’s 1st long-duration astronaut sets sights on moon and Mars https://t.co/3g9iv6p7Pz,0
,
"UAE's 1st long-duration astronaut sets sights on moon and Mars

https://t.co/blOfGlVov8

#SPACEdotcom #SpaceNews #News #Space #Astronomy #Feed #NewsFeed #CurrentNews #LatestNews #NewsUpdate #Newspaper #ScienceNews #Science",0
,
George McInerney finds this interesting  👍  UAE's 1st long-duration astronaut sets sights on moon and Mars  https://t.co/v5CgKDfSou,1
,
UAE's 1st long-duration astronaut sets sights on moon and Mars https://t.co/snE0hT8TpY https://t.co/I2gP90iyRO,0
,
UAE's 1st long-duration astronaut sets sights on moon and Mars https://t.co/Z9zLOYBbBe,0
,
UAE's 1st long-duration astronaut sets sights on moon and Mars https://t.co/0fbW1U1AhM  @spacedotcom,0
,
UAE's 1st long-duration astronaut sets sights on moon and Mars https://t.co/EUUOEFz7JA https://t.co/JLCkChIucL,0
,
#moon #moonlight #nature #uae moon https://t.co/Lgep9Bqt0U https://t.co/LKUM4bbpiB,0
,
#moon looks very close @6:48pm UAE time https://t.co/CXr77xRE5S,0
,
"In Earth-to-Space Call with Mohammed bin Rashid... Sultan Al Neyadi: We have an ambitious plan to put man back on the #moon and #Mars
#UAE2Space #TheLongestArabSpaceMission #Crew6 #UAE #MBRSC 
@HHShkMohd
@MBRSpaceCentre
@tdrauae
@Astro_Alneyadi
@Space_Station https://t.co/NIXHJjstsN",1
,
"Follow us for the latest trends in Tourism.  
....
#MoonlineTravelAndTrade #Moonline #Dubai #UAE #DubaiLife #VisitDubai #DubaiCity #DubaiVibes #DubaiAdventures #DubaiLuxury #DubaiTravel #DubaiMoon #MassiveMoonResort #Dubaiarchitectural 
source:https://t.co/vUrnXvJkjv",1
,
"🌙 Don't tell me the sky is the limit when there are footprints on the Moon. - Paul Brandt

#fullmoon  #inspiration #dubai #uae #nextlevel #neverstop https://t.co/F2XHSWSweU",0
,
"UAE #Moon mission: Landing date of Rashid Rover revealed, by Nandini Sircar in @khaleejtimes https://t.co/Xs2sCeJLRN #Lunapolitics #UAE",0
,
"UAE’s #Rashid Rover to land on #Moon on April 25, by Sajila Saseendran (@reportersajila) in @gulf_news https://t.co/joj6nGMU1Y #Lunapolitics #UAE",0
,
The UAE's Rashid Rover will land on the moon on April 25,0
,
"UAE’s Rashid Rover to land on Moon on April 25
Japanese lunar lander carrying Rover has travelled 1.6 million km en route to the Moon
By Sajila Saseendran
https://t.co/CocN7Z2B5T",0
,
"The UAE's Rashid Rover to the Moon will land on the lunar surface on April 25.
This comes according to a senior official who was speaking at the 17th International Conference on Space Operations in Dubai on Monday.
https://t.co/DE4ULsLLwQ

#uaemoonmission #rashidrover #UAE #space https://t.co/qKbCNnU8w9",0
,
UAE’s Rashid Rover To Land on Moon on April 25 https://t.co/wSzyLqOmEz,0
,
"UAE’s Rashid Rover to land on Moon on April 25
Japanese lunar lander carrying Rover has travelled 1.6 million km en route to the Moon - (gulfnews)
#UAE #rashidRover #Japan",0
,
"#UAE Moon mission: Landing date of Rashid Rover revealed

Since being deployed from the rocket, the lander has travelled approximately 1.376 million-kilometres into deep space. Details: https://t.co/URQpyfFWz2
RashidRover https://t.co/796Jwbs1Pw #UAE #Dubai #DXB",-1
,
"#UAE Moon mission: Landing date of Rashid Rover revealed

Since being deployed from the rocket, the lander has travelled approximately 1.376 million-kilometres into deep space. Details: https://t.co/cnseqvd1p8
@RashidRover https://t.co/CMXOACfqOb",-1
,
"As the first Arab-built lunar spacecraft, the @MBRSpaceCentre’s #RashidRover is a testament to the UAE’s dedication to innovation &amp; #SpaceExploration 🇦🇪

Containing graphene samples from 🇬🇧 @GrapheneUCam, the Rover will test whether graphene can protect against moon dust 🌕 https://t.co/nBo8BHTUOo",1
,
"#UAE’s Rashid Rover to land on #Moon on April 25, by Sajila Saseendran in @gulf_news https://t.co/oAls798d2l #Space #SpaceExploration",0
,
"UAE’s Rashid Rover to land on Moon on April 25  https://t.co/fsYT7Z0M50 says @Salem_HAlMarri, DG, @MBRSpaceCentre at @SpaceOps2023 in #Dubai #Artemis",0
,
"The UAE's #RashidRover landing on the moon is a remarkable achievement and a testament to the country's innovation and technological prowess. It's an exciting time for space exploration, and we're proud to be part of it.  #MoonMission #SpaceExploration  @UAEmediaoffice https://t.co/vCweFy81Vw",1
,
"UAE’s #RashidRover to land on Moon on April 25   

Japanese Lander carrying Rover has travelled 1.6 million km

https://t.co/DX3gRv49ms",0
,
"#Ramadan2023: How long will UAE residents fast daily? 

The official start date will be determined by the moon-sighting committee

https://t.co/JUkJ2bE5Ir",1
,
"The latest discoveries in astronomy and space exploration-

1. UAE’s Rashid rover will land on the Moon in April1🌑🚀 
2. NASA’s Psyche spacecraft will launch to explore a metallic asteroid23 🌞🛰 
3. OSIRIS-REx mission will return to Earth with asteroid samples3 🌎💫
 #Space",1
,
"Some countries like the UAE, Qatar, and Israel are turning their deserts green, while others like China are trying to attack other countries by turning them into deserts.
First, fix the desert. Then.",1
,
"Welcome on board ser 🫡 @DaCryptoAgency  

Oh don't forget to check out his bio 😎

#MaziMatic beyond the moon now 🚀🚀
@Mazimatic @WeAreSaitama @Epayme_uae  #saitama #epayme https://t.co/Jg6aqSnu98",1
,
"Ramadan, Eid dates: For Eid Al Fitr, UAE residents can expect a long weekend off

The official days off are confirmed by the authorities closer to Eid after moon-sighting

 https://t.co/r8efVi99rA",1
,
